LinearSVC #1
         C     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0    0.001  0.00               0.720    3.034859  0.199719  19.647435             0.792343
1    0.010  0.00               0.809    3.034859  0.253646  19.647435             0.884620
2    0.100  0.00               0.842    3.034859  0.292186  19.647435             0.946658
3    1.000  0.00               0.846    3.034859  0.469332  19.647435             0.973005
4   10.000  0.00               0.835    3.034859  2.279879  19.647435             0.974043
5    0.001  0.04               0.633   27.066212  0.239433  20.514307             0.749513
6    0.010  0.04               0.734   27.066212  0.281715  20.514307             0.875016
7    0.100  0.04               0.780   27.066212  0.341529  20.514307             0.948215
8    1.000  0.04               0.787   27.066212  0.581115  20.514307             0.973653
9   10.000  0.04               0.772   27.066212  2.673466  20.514307             0.974173
10   0.001  0.08               0.537   40.124335  0.316845  20.771332             0.695652
11   0.010  0.08               0.649   40.124335  0.279644  20.771332             0.842440
12   0.100  0.08               0.704   40.124335  0.346161  20.771332             0.947696
13   1.000  0.08               0.706   40.124335  0.606701  20.771332             0.973783
14  10.000  0.08               0.686   40.124335  2.705163  20.771332             0.974822
15   0.001  0.12               0.472   54.730305  0.218510  21.266029             0.642440
16   0.010  0.12               0.589   54.730305  0.262339  21.266029             0.823361
17   0.100  0.12               0.652   54.730305  0.337666  21.266029             0.941856
18   1.000  0.12               0.652   54.730305  0.582050  21.266029             0.973913
19  10.000  0.12               0.617   54.730305  2.535861  21.266029             0.974432
20   0.001  0.16               0.420   68.610132  0.189931  19.734853             0.578326
21   0.010  0.16               0.524   68.610132  0.235439  19.734853             0.765347
22   0.100  0.16               0.598   68.610132  0.299881  19.734853             0.924335
23   1.000  0.16               0.601   68.610132  0.650122  19.734853             0.972745
24  10.000  0.16               0.558   68.610132  2.799456  19.734853             0.974043
25   0.001  0.20               0.352   83.812499  0.155473  18.855419             0.537573
26   0.010  0.20               0.449   83.812499  0.192219  18.855419             0.724854
27   0.100  0.20               0.520   83.812499  0.247348  18.855419             0.903310
28   1.000  0.20               0.516   83.812499  0.494141  18.855419             0.968592
29  10.000  0.20               0.475   83.812499  2.357247  18.855419             0.972745
30   0.001  0.24               0.310   96.172031  0.142693  18.424090             0.489552
31   0.010  0.24               0.376   96.172031  0.187334  18.424090             0.655029
32   0.100  0.24               0.461   96.172031  0.293841  18.424090             0.872550
33   1.000  0.24               0.473   96.172031  0.460982  18.424090             0.962362
34  10.000  0.24               0.420   96.172031  2.496213  18.424090             0.971188
35   0.001  0.28               0.275  109.318055  0.118278  18.158846             0.442959
36   0.010  0.28               0.349  109.318055  0.150662  18.158846             0.600130
37   0.100  0.28               0.420  109.318055  0.191279  18.158846             0.838676
38   1.000  0.28               0.393  109.318055  0.437319  18.158846             0.950162
39  10.000  0.28               0.361  109.318055  2.317407  18.158846             0.967683
LinearSVCClean #1
         C     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0    0.001  0.00               0.720    3.034859  0.199581  19.647435             0.792343
1    0.010  0.00               0.809    3.034859  0.255250  19.647435             0.884620
2    0.100  0.00               0.842    3.034859  0.294100  19.647435             0.946658
3    1.000  0.00               0.846    3.034859  0.467214  19.647435             0.973005
4   10.000  0.00               0.835    3.034859  2.595372  19.647435             0.974043
5    0.001  0.04               0.658   27.066212  0.205299  20.514307             0.792343
6    0.010  0.04               0.750   27.066212  0.258203  20.514307             0.884620
7    0.100  0.04               0.778   27.066212  0.300891  20.514307             0.946658
8    1.000  0.04               0.771   27.066212  0.490537  20.514307             0.973005
9   10.000  0.04               0.745   27.066212  2.611344  20.514307             0.974043
10   0.001  0.08               0.567   40.124335  0.203491  20.771332             0.792343
11   0.010  0.08               0.677   40.124335  0.259911  20.771332             0.884620
12   0.100  0.08               0.706   40.124335  0.301181  20.771332             0.946658
13   1.000  0.08               0.664   40.124335  0.491302  20.771332             0.973005
14  10.000  0.08               0.625   40.124335  2.330614  20.771332             0.974043
15   0.001  0.12               0.475   54.730305  0.202273  21.266029             0.792343
16   0.010  0.12               0.583   54.730305  0.257228  21.266029             0.884620
17   0.100  0.12               0.608   54.730305  0.298983  21.266029             0.946658
18   1.000  0.12               0.555   54.730305  0.478873  21.266029             0.973005
19  10.000  0.12               0.519   54.730305  2.644739  21.266029             0.974043
20   0.001  0.16               0.396   68.610132  0.196619  19.734853             0.792343
21   0.010  0.16               0.502   68.610132  0.250875  19.734853             0.884620
22   0.100  0.16               0.509   68.610132  0.288899  19.734853             0.946658
23   1.000  0.16               0.451   68.610132  0.462553  19.734853             0.973005
24  10.000  0.16               0.413   68.610132  2.261687  19.734853             0.974043
25   0.001  0.20               0.321   83.812499  0.188151  18.855419             0.792343
26   0.010  0.20               0.409   83.812499  0.239816  18.855419             0.884620
27   0.100  0.20               0.411   83.812499  0.276211  18.855419             0.946658
28   1.000  0.20               0.349   83.812499  0.440942  18.855419             0.973005
29  10.000  0.20               0.312   83.812499  2.193348  18.855419             0.974043
30   0.001  0.24               0.263   96.172031  0.195609  18.424090             0.792343
31   0.010  0.24               0.344   96.172031  0.249720  18.424090             0.884620
32   0.100  0.24               0.348   96.172031  0.287512  18.424090             0.946658
33   1.000  0.24               0.297   96.172031  0.461798  18.424090             0.973005
34  10.000  0.24               0.269   96.172031  2.251256  18.424090             0.974043
35   0.001  0.28               0.220  109.318055  0.185036  18.158846             0.792343
36   0.010  0.28               0.273  109.318055  0.236436  18.158846             0.884620
37   0.100  0.28               0.280  109.318055  0.274350  18.158846             0.946658
38   1.000  0.28               0.243  109.318055  0.443336  18.158846             0.973005
39  10.000  0.28               0.232  109.318055  2.176959  18.158846             0.974043
MultinomialNB #1
     alpha     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0   0.0001  0.00               0.834    3.034859  0.033813  19.647435             0.961583
1   0.0010  0.00               0.843    3.034859  0.032363  19.647435             0.960675
2   0.0100  0.00               0.851    3.034859  0.032341  19.647435             0.958209
3   0.1000  0.00               0.852    3.034859  0.032379  19.647435             0.951979
