LinearSVC #1
         C     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0    0.001  0.00               0.720   14.329961  0.192789  20.153122             0.792343
1    0.010  0.00               0.809   14.329961  0.243987  20.153122             0.884620
2    0.100  0.00               0.842   14.329961  0.279170  20.153122             0.946658
3    1.000  0.00               0.846   14.329961  0.445327  20.153122             0.973005
4   10.000  0.00               0.835   14.329961  2.178616  20.153122             0.974043
5    0.001  0.14               0.645   81.746870  0.259012  20.129193             0.760286
6    0.010  0.14               0.751   81.746870  0.296806  20.129193             0.879948
7    0.100  0.14               0.799   81.746870  0.366025  20.129193             0.951979
8    1.000  0.14               0.798   81.746870  0.620140  20.129193             0.973783
9   10.000  0.14               0.789   81.746870  3.059340  20.129193             0.974173
10   0.001  0.28               0.591  145.234976  0.282398  21.328828             0.719533
11   0.010  0.28               0.693  145.234976  0.324563  21.328828             0.869825
12   0.100  0.28               0.737  145.234976  0.408287  21.328828             0.956132
13   1.000  0.28               0.751  145.234976  0.698843  21.328828             0.973783
14  10.000  0.28               0.742  145.234976  3.473784  21.328828             0.974173
15   0.001  0.42               0.510  210.660746  0.302893  21.146423             0.675146
16   0.010  0.42               0.630  210.660746  0.349366  21.146423             0.848799
17   0.100  0.42               0.692  210.660746  0.439168  21.146423             0.956652
18   1.000  0.42               0.699  210.660746  0.775163  21.146423             0.973394
19  10.000  0.42               0.691  210.660746  4.020973  21.146423             0.974043
20   0.001  0.56               0.443  271.617892  0.304672  21.010133             0.627255
21   0.010  0.56               0.557  271.617892  0.366184  21.010133             0.815185
22   0.100  0.56               0.642  271.617892  0.445653  21.010133             0.957949
23   1.000  0.56               0.657  271.617892  0.808822  21.010133             0.974043
24  10.000  0.56               0.650  271.617892  4.339731  21.010133             0.974692
25   0.001  0.70               0.396  330.179132  0.304982  21.002989             0.586892
26   0.010  0.70               0.504  330.179132  0.382304  21.002989             0.788709
27   0.100  0.70               0.624  330.179132  0.451823  21.002989             0.956003
28   1.000  0.70               0.639  330.179132  0.831973  21.002989             0.974043
29  10.000  0.70               0.627  330.179132  4.478769  21.002989             0.974562
30   0.001  0.84               0.371  400.992109  0.275207  20.503602             0.575730
31   0.010  0.84               0.466  400.992109  0.341406  20.503602             0.776639
32   0.100  0.84               0.581  400.992109  0.405376  20.503602             0.958339
33   1.000  0.84               0.604  400.992109  0.742259  20.503602             0.974043
34  10.000  0.84               0.603  400.992109  4.118381  20.503602             0.974951
35   0.001  0.98               0.357  463.224537  0.285939  21.274638             0.554705
36   0.010  0.98               0.453  463.224537  0.360625  21.274638             0.757430
37   0.100  0.98               0.580  463.224537  0.420938  21.274638             0.955354
38   1.000  0.98               0.604  463.224537  0.778835  21.274638             0.973653
39  10.000  0.98               0.592  463.224537  4.275215  21.274638             0.974432
LinearSVCClean #1
         C     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0    0.001  0.00               0.720   14.329961  0.193700  20.153122             0.792343
1    0.010  0.00               0.809   14.329961  0.245151  20.153122             0.884620
2    0.100  0.00               0.842   14.329961  0.280086  20.153122             0.946658
3    1.000  0.00               0.846   14.329961  0.446568  20.153122             0.973005
4   10.000  0.00               0.835   14.329961  2.170053  20.153122             0.974043
5    0.001  0.14               0.678   81.746870  0.200472  20.129193             0.792343
6    0.010  0.14               0.771   81.746870  0.255692  20.129193             0.884620
7    0.100  0.14               0.812   81.746870  0.294338  20.129193             0.946658
8    1.000  0.14               0.801   81.746870  0.471696  20.129193             0.973005
9   10.000  0.14               0.778   81.746870  2.306300  20.129193             0.974043
10   0.001  0.28               0.627  145.234976  0.196554  21.328828             0.792343
11   0.010  0.28               0.722  145.234976  0.249806  21.328828             0.884620
12   0.100  0.28               0.755  145.234976  0.288154  21.328828             0.946658
13   1.000  0.28               0.733  145.234976  0.461300  21.328828             0.973005
14  10.000  0.28               0.718  145.234976  2.251857  21.328828             0.974043
15   0.001  0.42               0.558  210.660746  0.198866  21.146423             0.792343
16   0.010  0.42               0.650  210.660746  0.252580  21.146423             0.884620
17   0.100  0.42               0.679  210.660746  0.291122  21.146423             0.946658
18   1.000  0.42               0.661  210.660746  0.466624  21.146423             0.973005
19  10.000  0.42               0.636  210.660746  2.286640  21.146423             0.974043
20   0.001  0.56               0.457  271.617892  0.196814  21.010133             0.792343
21   0.010  0.56               0.564  271.617892  0.250788  21.010133             0.884620
22   0.100  0.56               0.592  271.617892  0.288494  21.010133             0.946658
23   1.000  0.56               0.551  271.617892  0.461092  21.010133             0.973005
24  10.000  0.56               0.523  271.617892  2.241284  21.010133             0.974043
25   0.001  0.70               0.366  330.179132  0.195568  21.002989             0.792343
26   0.010  0.70               0.474  330.179132  0.247320  21.002989             0.884620
27   0.100  0.70               0.508  330.179132  0.286162  21.002989             0.946658
28   1.000  0.70               0.461  330.179132  0.459934  21.002989             0.973005
29  10.000  0.70               0.418  330.179132  2.249649  21.002989             0.974043
30   0.001  0.84               0.299  400.992109  0.172986  20.503602             0.792343
31   0.010  0.84               0.382  400.992109  0.219448  20.503602             0.884620
32   0.100  0.84               0.406  400.992109  0.252783  20.503602             0.946658
33   1.000  0.84               0.371  400.992109  0.405522  20.503602             0.973005
34  10.000  0.84               0.343  400.992109  1.980381  20.503602             0.974043
35   0.001  0.98               0.239  463.224537  0.178382  21.274638             0.792343
36   0.010  0.98               0.311  463.224537  0.223844  21.274638             0.884620
37   0.100  0.98               0.317  463.224537  0.257977  21.274638             0.946658
38   1.000  0.98               0.281  463.224537  0.413632  21.274638             0.973005
39  10.000  0.98               0.257  463.224537  2.023880  21.274638             0.974043
MultinomialNB #1
     alpha     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0   0.0001  0.00               0.834   14.329961  0.033463  20.153122             0.961583
1   0.0010  0.00               0.843   14.329961  0.031684  20.153122             0.960675
2   0.0100  0.00               0.851   14.329961  0.031523  20.153122             0.958209
3   0.1000  0.00               0.852   14.329961  0.031372  20.153122             0.951979
4   1.0000  0.00               0.832   14.329961  0.031550  20.153122             0.925892
5   0.0001  0.14               0.763   81.746870  0.047805  20.129193             0.968981
6   0.0010  0.14               0.786   81.746870  0.042902  20.129193             0.968981
7   0.0100  0.14               0.805   81.746870  0.042997  20.129193             0.968332
8   0.1000  0.14               0.810   81.746870  0.042775  20.129193             0.966126
9   1.0000  0.14               0.794   81.746870  0.042925  20.129193             0.940818
10  0.0001  0.28               0.728  145.234976  0.054627  21.328828             0.970539
11  0.0010  0.28               0.747  145.234976  0.049882  21.328828             0.970409
12  0.0100  0.28               0.770  145.234976  0.049920  21.328828             0.970019
13  0.1000  0.28               0.782  145.234976  0.049991  21.328828             0.968073
